6,0,300
6,32,300
6,64,300
6,96,300
17,128,300
8,128,268
5,128,236
6,160,236
6,192,236
6,224,236
7,256,236
0,288,236
1,320,236
1,352,236
1,384,236
1,416,236
3,448,236
10,256,268
10,256,300
10,256,332
10,256,364
16,256,396
6,288,396
6,320,396
7,352,396
10,352,428
16,352,460
6,384,460
6,416,460
6,448,460
6,480,460
6,512,460
6,544,460
6,576,460
6,608,460
6,672,524
7,640,460
10,640,492
16,640,524
6,704,524
6,736,524
6,768,524
6,800,524
17,832,524
8,832,492
8,832,460
8,832,428
8,832,396
8,832,364
8,832,332
8,832,300
8,832,268
5,832,236
6,864,236
6,896,236
7,928,236
16,928,268
6,960,268
6,992,268
7,1024,268
16,1024,300
6,1056,300
6,1088,300
6,1120,300
6,1152,300
6,1184,300
5,480,236
8,480,268
8,480,300
11,480,332
6,512,236
12,512,332
6,544,236
12,544,332
6,576,236
12,576,332
6,608,236
12,608,332
6,640,236
12,640,332
7,672,236
10,672,268
10,672,300
13,672,332
i,0,250,200
i,0,280,200
i,1,80,40
